repo_owner,repo_name,repo_license,license_category,rows,source_url_count,sample_source_url
runtsang,Q-Bridge,MIT,permissive,72888,6358,https://github.com/runtsang/Q-Bridge/blob/master/ML-2-QML/Ansatz/Ansatz38.py
Ahmik-Virani,Differentiating-Quantum-Bug-From-Noise-Statistical-Approach,MIT,permissive,69294,11535,https://github.com/Ahmik-Virani/Differentiating-Quantum-Bug-From-Noise-Statistical-Approach/blob/main/Case Study - DJA.ipynb
wjy99-c,QDiff,BSD-3-Clause,permissive,49044,8163,https://github.com/wjy99-c/QDiff/blob/master/WrongBehavior/Found_errors/Cirq1/Runendlessly.py
AayushSarkar,Qiskit-Experiment-Hub,Apache-2.0,permissive,32070,1779,https://github.com/AayushSarkar/Qiskit-Experiment-Hub/blob/main/.venv/Lib/site-packages/PIL/BdfFontFile.py
Ali-hey-0,Qiskit,Apache-2.0,permissive,16398,406,https://github.com/Ali-hey-0/Qiskit/blob/main/qiskit/circuit/_add_control.py
sethuquantum,LearnQuantum,Apache-2.0,permissive,13662,509,https://github.com/sethuquantum/LearnQuantum/blob/main/examples/python/commutation_relation.py
HAMEEMM,qiskit,Apache-2.0,permissive,5922,178,https://github.com/HAMEEMM/qiskit/blob/main/qiskit/circuit/classicalfunction/boolean_expression.py
Arka221B,Qiskit_terra,Apache-2.0,permissive,5880,244,https://github.com/Arka221B/Qiskit_terra/blob/main/qiskit/algorithms/amplitude_estimators/fae.py
PennyLaneAI,pennylane,Apache-2.0,permissive,5202,387,https://github.com/PennyLaneAI/pennylane/blob/main/doc/_static/draw_mpl/draw_mpl_examples.py
Qiskit,qiskit,Apache-2.0,permissive,3990,187,https://github.com/Qiskit/qiskit/blob/main/qiskit/circuit/__init__.py
Qiskit,platypus,Apache-2.0,permissive,2946,141,https://github.com/Qiskit/platypus/blob/main/notebooks/algorithm-design/ansatz/ansatz.ipynb
Qiskit,documentation,Apache-2.0,permissive,2820,126,https://github.com/Qiskit/documentation/blob/main/docs/guides/DAG-representation.ipynb
JoseCarlos458,qiskit,Apache-2.0,permissive,1764,76,https://github.com/JoseCarlos458/qiskit/blob/main/docs/tutorials/circuits/01_circuit_basics.ipynb
Quantinuum,qiskit-terra,Apache-2.0,permissive,1578,103,https://github.com/Quantinuum/qiskit-terra/blob/master/examples/python/qft.py
qiskit-community,qiskit-community-tutorials,Apache-2.0,permissive,1374,91,https://github.com/qiskit-community/qiskit-community-tutorials/blob/master/Coding_With_Qiskit/ep3_Hello_World.ipynb
Quantinuum,pyzx,Apache-2.0,permissive,1122,49,https://github.com/Quantinuum/pyzx/blob/master/demos/Benchmark quimb.ipynb
roytu,QOSF-FeMoco2020,MIT,permissive,942,50,https://github.com/roytu/QOSF-FeMoco2020/blob/main/lib/qiskit/aqua/algorithms/amplitude_estimators/ae_algorithm.py
PennyLaneAI,demos,Apache-2.0,permissive,738,72,https://github.com/PennyLaneAI/demos/blob/master/_static/demonstration_assets/barren_gadgets/barren_gadgets.py
indian-institute-of-science-qc,qiskit-aakash,Apache-2.0,permissive,720,31,https://github.com/indian-institute-of-science-qc/qiskit-aakash/blob/master/circuits/grover.py
PennyLaneAI,catalyst,Apache-2.0,permissive,678,52,https://github.com/PennyLaneAI/catalyst/blob/main/benchmark/catalyst_benchmark/measurements.py
OpenBlatam,AI-Models-Clone,MIT,permissive,636,23,https://github.com/OpenBlatam/AI-Models-Clone/blob/main/Frontier-Model-run-polyglot/scripts/TruthGPT-main/optimization_core/commit_tracker/ultra_advanced_features.py
qiskit-community,korean-community,Apache-2.0,permissive,636,26,https://github.com/qiskit-community/korean-community/blob/main/2023 Quantum Leadership Program/Getting Ready.ipynb
singular-value,qiskit-terra,Apache-2.0,permissive,600,12,https://github.com/singular-value/qiskit-terra/blob/master/examples/python/ghz.py
Quantinuum,qiskit-tutorial,Apache-2.0,permissive,588,38,https://github.com/Quantinuum/qiskit-tutorial/blob/master/community/algorithms/bernstein_vazirani.ipynb
PennyLaneAI,diastatic-malt,Apache-2.0,permissive,576,35,https://github.com/PennyLaneAI/diastatic-malt/blob/main/malt/converters/call_trees.py
SRI-International,QC-App-Oriented-Benchmarks,Apache-2.0,permissive,576,23,https://github.com/SRI-International/QC-App-Oriented-Benchmarks/blob/master/_common/qiskit/execute.py
Quantinuum,aqua,Apache-2.0,permissive,552,53,https://github.com/Quantinuum/aqua/blob/master/qiskit_aqua/algorithms/adaptive/qaoa/varform.py
lonelyneutrin0,qiskit,Apache-2.0,permissive,540,11,https://github.com/lonelyneutrin0/qiskit/blob/main/qiskit/circuit/library/standard_gates/p.py
PennyLaneAI,Qualtran-PL,Apache-2.0,permissive,534,60,https://github.com/PennyLaneAI/Qualtran-PL/blob/main/dev_tools/qualtran_dev_tools/bloq_finder.py
Quantinuum,Deep-Learning-Approaches-to-Quantum-Error-Mitigation,MIT,permissive,534,37,https://github.com/Quantinuum/Deep-Learning-Approaches-to-Quantum-Error-Mitigation/blob/main/Pipeline/HyperparameterSearch/hs_perceiver_kl_mixed.py
Quantinuum,Qermit,Apache-2.0,permissive,534,30,https://github.com/Quantinuum/Qermit/blob/main/qermit/clifford_noise_characterisation/ccl.py
Quantinuum,lambeq,Apache-2.0,permissive,516,41,https://github.com/Quantinuum/lambeq/blob/main/contrib/convert_discopy_to_lambeq.py
SpinQTech,SpinQKit,Apache-2.0,permissive,516,15,https://github.com/SpinQTech/SpinQKit/blob/main/example/qiskit_hhl_example.py
PennyLaneAI,pennylane-qiskit,Apache-2.0,permissive,510,7,https://github.com/PennyLaneAI/pennylane-qiskit/blob/master/pennylane_qiskit/converter.py
neuralsorcerer,qiskit-inspect,Apache-2.0,permissive,510,5,https://github.com/neuralsorcerer/qiskit-inspect/blob/main/examples/bell_backend_trace.py
